MultiUAV-244.txt:	 MOTA: 0.915089,	 IDF1: 0.939299,	 FP: 580, 	 FN:608,	 SW:5
MultiUAV-249.txt:	 MOTA: 0.952241,	 IDF1: 0.976062,	 FP: 313, 	 FN:384,	 SW:0
MultiUAV-252.txt:	 MOTA: 0.608133,	 IDF1: 0.803779,	 FP: 2917, 	 FN:2961,	 SW:0
MultiUAV-255.txt:	 MOTA: 0.464321,	 IDF1: 0.731668,	 FP: 3985, 	 FN:4040,	 SW:0
MultiUAV-284.txt:	 MOTA: 0.316133,	 IDF1: 0.375562,	 FP: 3540, 	 FN:6647,	 SW:71
MultiUAV-293.txt:	 MOTA: 0.625678,	 IDF1: 0.712320,	 FP: 382, 	 FN:923,	 SW:7
MultiUAV-298.txt:	 MOTA: -0.310414,	 IDF1: 0.138285,	 FP: 3325, 	 FN:5789,	 SW:34
MultiUAV-300.txt:	 MOTA: -0.011981,	 IDF1: 0.283644,	 FP: 3724, 	 FN:5523,	 SW:44
----------------------------------------------------------------------------------------------------
Total:	 MOTA: 0.778654,	 IDF1: 0.772371,	, FP: 83941.0, 	 FN:116210.0,	 SW:1172.0
